ssz	Z	N	E
346	97	151	7.796811
347	18	21	8.923686
348	77	115	8.251875
349	65	93	8.511055
350	95	147	7.841913
351	14	18	8.823856
352	84	125	8.149633
353	28	35	9.11121
354	62	89	8.565251
355	94	144	7.877358
356	64	84	8.586706
357	65	92	8.522096
358	92	140	7.922143
359	22	22	8.924702
360	78	115	8.249965
361	50	71	8.808499
362	63	87	8.569974
363	18	24	8.890923
364	83	124	8.168209
365	72	106	
366	55	82	8.703047
367	96	147	7.836004
368	38	52	9.026239
369	82	128	8.141462
370	89	138	7.957447
371	96	148	7.831763
372	61	84	8.631838
373	41	52	
374	94	147	7.85159
375	48	65	
376	63	89	8.550897
377	98	152	7.78664
378	1	2	3.087994
379	36	49	9.029919
380	56	77	8.729624
381	63	91	8.5372
382	76	118	8.238508
383	88	140	7.94439
384	61	85	8.615574
385	27	33	9.098811
386	63	92	8.534711
387	81	123	8.190671
388	71	103	8.390726
389	45	56	8.936753
390	45	57	8.92068
391	84	124	8.155315
392	94	142	7.889536
393	51	74	8.777367
394	26	29	9.116407
395	98	154	7.769605
396	61	86	8.609068
397	11	11	8.306891
398	55	79	8.719768
399	69	102	8.41762
400	90	138	7.953906
401	72	100	8.399252
402	73	106	8.352703
403	71	102	8.400147
404	99	153	7.764621
405	48	61	8.883327
406	93	142	7.896669
407	44	62	8.885686
408	61	83	8.636751
409	62	83	8.62759
410	98	150	7.800198
411	97	152	7.790805
412	23	26	9.05004
413	25	29	9.100131
414	50	69	
415	58	86	8.629918
416	99	155	7.748524
417	27	30	9.112454
418	32	36	9.056327
419	61	82	8.651509
420	47	63	8.865355
421	30	35	9.085352
422	64	89	8.547731
423	45	57	
424	79	116	8.238353
425	77	117	8.238025
426	75	109	8.31067
427	96	146	7.84486
428	20	25	8.978261
429	71	106	8.361829
430	52	69	8.800749
431	66	93	8.506378
432	71	103	
433	84	126	8.147295
434	58	81	8.696881
435	50	73	8.785311
436	69	101	8.423096
437	64	87	8.562685
438	74	107	8.337924
439	34	41	9.033581
440	52	71	
441	50	63	8.853035
442	73	109	8.326456
443	52	75	8.765759
444	39	49	9.029272
445	100	157	7.726619
446	76	109	8.30273
447	69	99	8.436316
448	63	86	8.584395
449	43	54	
450	16	19	8.89551
451	37	46	9.024038
452	21	25	8.979091
453	40	48	9.021589
454	33	40	9.043341
455	27	29	9.072031
456	74	111	8.305866
457	77	115	
458	65	95	8.495346
459	27	31	9.103153
460	75	108	8.321661
461	72	103	8.382665
462	74	114	8.277003
463	38	47	9.02548
464	40	55	8.972989
465	43	52	8.976359
466	41	50	
467	98	156	7.751087
468	51	73	8.777943
469	53	72	8.782019
470	39	52	9.020174
471	52	73	
472	63	85	8.586882
473	4	3	5.81847
474	101	157	7.715948
475	38	51	9.039969
476	49	65	8.846608
477	64	82	8.592512
478	80	123	8.195806
479	94	143	7.88106
480	48	67	8.835754
481	26	33	9.099516
482	72	109	8.333272
483	61	87	8.5898
484	47	58	8.900547
485	99	156	7.741567
486	44	59	8.9185
487	54	73	8.766768
488	75	109	
489	41	54	8.984821
490	18	19	8.907752
491	52	77	8.744953
492	37	47	9.020732
493	96	145	7.848492
494	58	83	8.677286
