Év;Ország;Mennyiség
2011;Románia;3644912
2010;Románia;3613156
2009;Románia;2686152
2008;Románia;4917110
2022;Bulgária;4815
2021;Bulgária;5475
2020;Bulgária;4838
2019;Bulgária;5659
2018;Bulgária;6661
2017;Bulgária;65242
2016;Bulgária;5273
2015;Bulgária;5431
2014;Bulgária;6124
2013;Bulgária;5228
2012;Bulgária;6328
2011;Bulgária;8345
2010;Bulgária;7439
2009;Bulgária;7257
2008;Bulgária;1330000
2022;Magyarország;857228
2021;Magyarország;1099753
2020;Magyarország;1513166
2019;Magyarország;1769499
2018;Magyarország;1988863
2017;Magyarország;1900811
2016;Magyarország;1279344
2015;Magyarország;1674045
2014;Magyarország;1131398
2013;Magyarország;883033
2012;Magyarország;1542301
2011;Magyarország;1732211
2010;Magyarország;1678155
2009;Magyarország;1403225
2008;Magyarország;2097301
2022;Csehország;4261515
2021;Csehország;4788002
2020;Csehország;4450167
2019;Csehország;4549982
2018;Csehország;4938396
2017;Csehország;4685849
2016;Csehország;5305493
2015;Csehország;5261591
2014;Csehország;5360445
2013;Csehország;5152367
2012;Csehország;5072075
2011;Csehország;5583243
2010;Csehország;5178504
2009;Csehország;4593774
2008;Csehország;6386793
2022;Szlovákia;3872230
2021;Szlovákia;4862839
2020;Szlovákia;3443515
2019;Szlovákia;3930809
2018;Szlovákia;4946508
2017;Szlovákia;4980000
2016;Szlovákia;4808000
2015;Szlovákia;4562001
2014;Szlovákia;4705000
2013;Szlovákia;4511000
2012;Szlovákia;4403000
2011;Szlovákia;4242000
2010;Szlovákia;4588000
2009;Szlovákia;3747000
2008;Szlovákia;4489000
