hangszer_azon;nev
1;Accordion
2;Baglamas
3;Bass
4;Bassoon
5;Bouzouki
6;Cello
7;Cimbalom
8;Electric-guitar
9;Floghera
10;Flute
11;Guitar
12;Kanonaki
13;Klarino
14;Laouto
15;Lyra
16;Mandolin
17;Ney
18;Oud
19;Percussion
20;Piano
21;Santouri
22;Tambouras
23;Trombone
24;Trumpet
25;Tsampouna
26;Tsumbus
27;Tuba
28;Tzouras
29;Violin
30;Voice
31;Whistling
32;Zournas
