Versenyszám	Világcsúcs
50 m gyors	00:20.91
100 m gyors	00:46.91
200 m gyors	1:42.00
400 m gyors	3:40.07
800 m gyors	7:32.12
1500 m gyors	14:31.02
50 m hát	00:24.00
100 m hát	00:51.85
200 m hát	1:51.92
50 m mell	00:25.95
100 m mell	00:56.88
200 m mell	2:06.12
50 m pillangó	00:22.27
100 m pillangó	00:49.50
200 m pillangó	1:50.73
200 m vegyes	1:54.00
400 m vegyes	4:03.84
