Helyezés	Idõ	Versenyzõ neve	Születési év	Ország	Versenynap	Férfi/Nõi	Táv	Versenyszám																				
2	08:32.54	GOUGH Maddy	1999	AUS	06/10/2019	nõi	800	gyors																				
3	00:23.23	GRINEV Vladislav	1996	RUS	05/10/2019	férfi	50	gyors																				
5	00:23.40	GRINEV Vladislav	1996	RUS	05/10/2019	férfi	50	gyors																				
2	00:48.57	GRINEV Vladislav	1996	RUS	05/10/2019	férfi	100	gyors																				
4	00:49.01	GRINEV Vladislav	1996	RUS	05/10/2019	férfi	100	gyors																				
1	03:59.74	GYURTA Gergely	1991	HUN	05/10/2019	férfi	400	gyors																				
3	08:02.88	GYURTA Gergely	1991	HUN	05/10/2019	férfi	800	gyors																				
3	15:11.04	GYURTA Gergely	1991	HUN	05/10/2019	férfi	1500	gyors																				
4	04:20.42	GYURTA Gergely	1991	HUN	06/10/2019	férfi	400	vegyes																				
6	00:29.70	HENDERSON Hanna	2002	CAN	05/10/2019	nõi	50	hát																				
8	01:01.13	HENDERSON Hanna	2002	CAN	05/10/2019	nõi	100	hát																				
2	00:59.65	HENDERSON Hanna	2002	CAN	06/10/2019	nõi	100	pillangó																				
10	01:00.49	HENDERSON Hanna	2002	CAN	06/10/2019	nõi	100	pillangó																				
2	02:12.45	HERASIMOWICZ Zuzanna	2002	POL	06/10/2019	nõi	200	hát																				
10	02:17.36	HERASIMOWICZ Zuzanna	2002	POL	06/10/2019	nõi	200	hát																				
6	01:49.55	HOLLO Balazs	1999	HUN	06/10/2019	férfi	200	gyors																				
3	04:16.63	HOLLO Balazs	1999	HUN	06/10/2019	férfi	400	vegyes																				
10	01:04.42	HORVATH David	1996	HUN	06/10/2019	férfi	100	mell																				
10	02:13.12	HORVATH David	1996	HUN	06/10/2019	férfi	200	mell																				
9	00:29.99	HOSSZU Katinka	1989	HUN	05/10/2019	nõi	50	hát																				
10	00:30.04	HOSSZU Katinka	1989	HUN	05/10/2019	nõi	50	hát																				
5	01:00.69	HOSSZU Katinka	1989	HUN	05/10/2019	nõi	100	hát																				
6	01:00.85	HOSSZU Katinka	1989	HUN	05/10/2019	nõi	100	hát																				
1	02:09.56	HOSSZU Katinka	1989	HUN	06/10/2019	nõi	200	vegyes																				
3	02:12.86	HOSSZU Katinka	1989	HUN	06/10/2019	nõi	200	vegyes																				
1	04:34.37	HOSSZU Katinka	1989	HUN	05/10/2019	nõi	400	vegyes																				
1	00:30.82	HULKKO Ida	1998	FIN	06/10/2019	nõi	50	mell																				
2	00:31.20	HULKKO Ida	1998	FIN	06/10/2019	nõi	50	mell																				
4	00:31.33	HULKKO Ida	1998	FIN	05/10/2019	nõi	50	mell																				
9	00:31.82	HULKKO Ida	1998	FIN	05/10/2019	nõi	50	mell																				
1	01:07.42	HULKKO Ida	1998	FIN	05/10/2019	nõi	100	mell																				
4	01:08.07	HULKKO Ida	1998	FIN	05/10/2019	nõi	100	mell																				
4	02:00.00	IKARI Yuki	2000	JPN	05/10/2019	férfi	200	vegyes																				
8	02:01.81	IKARI Yuki	2000	JPN	05/10/2019	férfi	200	vegyes																				
1	04:14.43	IKARI Yuki	2000	JPN	06/10/2019	férfi	400	vegyes																				
5	02:14.59	ILYES Laura	2001	HUN	06/10/2019	nõi	200	hát																				
8	02:16.00	ILYES Laura	2001	HUN	06/10/2019	nõi	200	hát																				
4	00:25.20	IRIE Ryosuke	1990	JPN	05/10/2019	férfi	50	hát																				
6	00:25.31	IRIE Ryosuke	1990	JPN	05/10/2019	férfi	50	hát																				
1	00:53.50	IRIE Ryosuke	1990	JPN	06/10/2019	férfi	100	hát																				
6	00:54.96	IRIE Ryosuke	1990	JPN	06/10/2019	férfi	100	hát																				
6	02:01.19	IRIE Ryosuke	1990	JPN	05/10/2019	férfi	200	vegyes																				
9	02:01.95	IRIE Ryosuke	1990	JPN	05/10/2019	férfi	200	vegyes																				
2	01:59.82	JAKABOS Zsuzsanna	1989	HUN	05/10/2019	nõi	200	gyors																				
5	02:00.85	JAKABOS Zsuzsanna	1989	HUN	05/10/2019	nõi	200	gyors																				
1	00:59.14	JAKABOS Zsuzsanna	1989	HUN	06/10/2019	nõi	100	pillangó																				
3	00:59.69	JAKABOS Zsuzsanna	1989	HUN	06/10/2019	nõi	100	pillangó																				
4	02:13.46	JAKABOS Zsuzsanna	1989	HUN	06/10/2019	nõi	200	vegyes																				
2	04:41.73	JAKABOS Zsuzsanna	1989	HUN	05/10/2019	nõi	400	vegyes																				
4	00:29.68	JALLOW Mimosa	1994	FIN	05/10/2019	nõi	50	hát																				
8	00:29.74	JALLOW Mimosa	1994	FIN	05/10/2019	nõi	50	hát																				
10	01:01.35	JALLOW Mimosa	1994	FIN	05/10/2019	nõi	100	hát																				
6	04:02.95	JOLY Damien	1992	FRA	05/10/2019	férfi	400	gyors																				
7	08:12.82	JOLY Damien	1992	FRA	05/10/2019	férfi	800	gyors																				
5	15:23.44	JOLY Damien	1992	FRA	05/10/2019	férfi	1500	gyors																				
7	04:03.37	KALMAR Akos	2000	HUN	05/10/2019	férfi	400	gyors																				
6	08:12.55	KALMAR Akos	2000	HUN	05/10/2019	férfi	800	gyors																				
6	15:24.18	KALMAR Akos	2000	HUN	05/10/2019	férfi	1500	gyors																				
5	00:26.48	KAMENEVA Mariia	1999	RUS	06/10/2019	nõi	50	gyors																				
9	00:26.92	KAMENEVA Mariia	1999	RUS	06/10/2019	nõi	50	gyors																				
4	00:54.40	KAMENEVA Mariia	1999	RUS	06/10/2019	nõi	100	gyors																				
8	00:54.89	KAMENEVA Mariia	1999	RUS	06/10/2019	nõi	100	gyors																				
2	00:29.28	KAMENEVA Mariia	1999	RUS	05/10/2019	nõi	50	hát																				
7	00:29.73	KAMENEVA Mariia	1999	RUS	05/10/2019	nõi	50	hát																				
2	00:59.86	KAMENEVA Mariia	1999	RUS	05/10/2019	nõi	100	hát																				
4	01:00.48	KAMENEVA Mariia	1999	RUS	05/10/2019	nõi	100	hát																				
1	00:27.00	KAMMINGA Arno	1995	NED	05/10/2019	férfi	50	mell																				
2	00:27.13	KAMMINGA Arno	1995	NED	05/10/2019	férfi	50	mell																				
1	01:02.10	KAMMINGA Arno	1995	NED	06/10/2019	férfi	100	mell																				
2	01:02.14	KAMMINGA Arno	1995	NED	06/10/2019	férfi	100	mell																				
1	02:07.96	KAMMINGA Arno	1995	NED	06/10/2019	férfi	200	mell																				
2	02:08.72	KAMMINGA Arno	1995	NED	06/10/2019	férfi	200	mell																				
4	04:45.85	KAPAS Boglarka	1993	HUN	05/10/2019	nõi	400	vegyes																				
3	04:17.84	KESELY Ajna	2001	HUN	06/10/2019	nõi	400	gyors																				
5	08:40.69	KESELY Ajna	2001	HUN	06/10/2019	nõi	800	gyors																				
8	00:26.84	KLANCAR Neza	2000	SLO	06/10/2019	nõi	50	gyors																				
9	00:55.13	KLANCAR Neza	2000	SLO	06/10/2019	nõi	100	gyors																				
10	00:55.14	KLANCAR Neza	2000	SLO	06/10/2019	nõi	100	gyors																				
7	01:04.28	KOHINATA Kazuki	1994	JPN	06/10/2019	férfi	100	mell																				
5	02:11.71	KOHINATA Kazuki	1994	JPN	06/10/2019	férfi	200	mell																				
8	02:13.09	KOHINATA Kazuki	1994	JPN	06/10/2019	férfi	200	mell																				
6	04:23.42	KOS Hubert	2003	HUN	06/10/2019	férfi	400	vegyes																				
3	00:26.09	KROMOWIDJOJO Ranomi	1990	NED	06/10/2019	nõi	50	gyors																				
