Név;Születési dátum;Csapat
Ahmed Reda Tagnaouti;1996.04.05;MOROCCO
Bilal El Khannous;2004.05.10;MOROCCO
Badr Benoun;1993.09.30;MOROCCO
Yahia Attiyat Allah;1995.03.02;MOROCCO
Yahya Jabrane;1991.06.18;MOROCCO
Alisson;1992.10.02;BRAZIL
Danilo;1991.07.15;BRAZIL
Thiago Silva;1984.09.22;BRAZIL
Marquinhos;1994.05.14;BRAZIL
Casemiro;1992.02.23;BRAZIL
Alex Sandro;1991.01.26;BRAZIL
Lucas Paquetá;1997.08.27;BRAZIL
Fred;1993.03.05;BRAZIL
Richarlison;1997.05.10;BRAZIL
Neymar;1992.02.05;BRAZIL
Raphinha;1996.12.14;BRAZIL
Weverton;1987.12.13;BRAZIL
Dani Alves;1983.05.06;BRAZIL
Éder Militão;1998.01.18;BRAZIL
Fabinho;1993.10.23;BRAZIL
Alex Telles;1992.12.15;BRAZIL
Bruno Guimarães;1997.11.16;BRAZIL
Gabriel Jesus;1997.04.03;BRAZIL
Antony;2000.02.24;BRAZIL
Vinícius Júnior;2000.07.12;BRAZIL
Rodrygo;2001.01.09;BRAZIL
Éverton Ribeiro;1989.04.10;BRAZIL
Ederson;1993.08.17;BRAZIL
Bremer;1997.03.18;BRAZIL
Pedro;1997.06.20;BRAZIL
Gabriel Martinelli;2001.06.18;BRAZIL
Simon Ngapandouetnbu;2003.04.12;CAMEROON
Jerome Ngom Mbekeli;1998.09.30;CAMEROON
Nicolas Nkoulou;1990.03.27;CAMEROON
Christopher Wooh;2001.09.18;CAMEROON
Gaël Ondoua;1995.11.04;CAMEROON
Moumi Ngamaleu;1994.07.09;CAMEROON
Georges-Kévin Nkoudou;1995.02.13;CAMEROON
André-Frank Zambo Anguissa;1995.11.16;CAMEROON
Jean-Pierre Nsame;1993.05.01;CAMEROON
Vincent Aboubakar;1992.01.22;CAMEROON
Christian Bassogog;1995.10.18;CAMEROON
Karl Toko Ekambi;1992.09.14;CAMEROON
Eric Maxim Choupo-Moting;1989.03.23;CAMEROON
Samuel Gouet;1997.12.14;CAMEROON
Pierre Kunde;1995.07.26;CAMEROON
Devis Epassy;1993.02.02;CAMEROON
Olivier Mbaizo;1997.08.15;CAMEROON
Martin Hongla;1998.03.16;CAMEROON
Collins Fai;1992.08.13;CAMEROON
Bryan Mbeumo;1999.08.07;CAMEROON
Jean-Charles Castelletto;1995.01.26;CAMEROON
Olivier Ntcham;1996.02.09;CAMEROON
André Onana;1996.04.02;CAMEROON
Enzo Ebosse;1999.03.11;CAMEROON
Nouhou Tolo;1997.06.23;CAMEROON
Souaibou Marou;2000.12.03;CAMEROON
Marko Dmitrović;1992.01.24;SERBIA
Strahinja Pavlović;2001.05.24;SERBIA
Strahinja Eraković;2001.01.22;SERBIA
Nikola Milenković;1997.10.12;SERBIA
Miloš Veljković;1995.09.26;SERBIA
Nemanja Maksimović;1995.01.26;SERBIA
Nemanja Radonjić;1996.02.15;SERBIA
Nemanja Gudelj;1991.11.16;SERBIA
Aleksandar Mitrović;1994.09.16;SERBIA
Dušan Tadić;1988.11.20;SERBIA
Luka Jović;1997.12.23;SERBIA
Predrag Rajković;1995.10.31;SERBIA
Stefan Mitrović;1990.05.22;SERBIA
Andrija Živković;1996.07.11;SERBIA
Srđan Babić;1996.04.22;SERBIA
Saša Lukić;1996.08.13;SERBIA
Filip Kostić;1992.11.01;SERBIA
Dušan Vlahović;2000.01.28;SERBIA
Uroš Račić;1998.03.17;SERBIA
Sergej Milinković-Savić;1995.02.27;SERBIA
Filip Đuričić;1992.01.30;SERBIA
Darko Lazović;1990.09.15;SERBIA
Vanja Milinković-Savić;1997.02.20;SERBIA
Ivan Ilić;2001.03.17;SERBIA
Filip Mladenović;1991.08.15;SERBIA
Marko Grujić;1996.04.13;SERBIA
Yann Sommer;1988.12.17;SWITZERLAND
Edimilson Fernandes;1996.04.15;SWITZERLAND
Silvan Widmer;1993.03.05;SWITZERLAND
Nico Elvedi;1996.09.30;SWITZERLAND
Manuel Akanji;1995.07.19;SWITZERLAND
Denis Zakaria;1996.11.20;SWITZERLAND
Breel Embolo;1997.02.14;SWITZERLAND
Remo Freuler;1992.04.15;SWITZERLAND
Haris Seferovic;1992.02.22;SWITZERLAND
Granit Xhaka;1992.09.27;SWITZERLAND
Renato Steffen;1991.11.03;SWITZERLAND
Jonas Omlin;1994.01.10;SWITZERLAND
Ricardo Rodriguez;1992.08.25;SWITZERLAND
Michel Aebischer;1997.01.06;SWITZERLAND
Djibril Sow;1997.02.06;SWITZERLAND
Christian Fassnacht;1993.11.11;SWITZERLAND
Ruben Vargas;1998.08.05;SWITZERLAND
Eray Cömert;1998.02.04;SWITZERLAND
Noah Okafor;2000.05.24;SWITZERLAND
Fabian Frei;1989.01.08;SWITZERLAND
Gregor Kobel;1997.12.06;SWITZERLAND
Fabian Schär;1991.12.20;SWITZERLAND
Xherdan Shaqiri;1991.10.10;SWITZERLAND
Philipp Köhn;1998.04.02;SWITZERLAND
Fabian Rieder;2002.02.16;SWITZERLAND
Ardon Jashari;2002.07.30;SWITZERLAND
Lawrence Ati-Zigi;1996.11.29;GHANA
Tariq Lamptey;2000.09.30;GHANA
Denis Odoi;1988.05.27;GHANA
Mohammed Salisu;1999.04.17;GHANA
Thomas Partey;1993.06.13;GHANA
Elisha Owusu;1997.11.07;GHANA
Abdul Fatawu Issahaku;2004.03.08;GHANA
Daniel-Kofi Kyereh;1996.03.08;GHANA
Jordan Ayew;1991.09.11;GHANA
André Ayew;1989.12.17;GHANA
Osman Bukari;1998.12.13;GHANA
Ibrahim Danlad;2002.12.02;GHANA
Daniel Afriyie;2001.06.26;GHANA
Gideon Mensah;1998.07.18;GHANA
Joseph Aidoo;1995.09.29;GHANA
Abdul Manaf Nurudeen;1999.02.08;GHANA
Baba Rahman;1994.07.02;GHANA
Daniel Amartey;1994.12.21;GHANA
Iñaki Williams;1994.06.15;GHANA
Mohammed Kudus;2000.08.02;GHANA
Salis Abdul Samed;2000.03.26;GHANA
Kamaldeen Sulemana;2002.02.15;GHANA
Alexander Djiku;1994.08.09;GHANA
Kamal Sowah;2000.01.09;GHANA
Antoine Semenyo;2000.01.07;GHANA
Alidu Seidu;2000.06.04;GHANA
Rui Patrício;1988.02.15;PORTUGAL
Diogo Dalot;1999.03.18;PORTUGAL
Pepe;1983.02.26;PORTUGAL
Rúben Dias;1997.05.14;PORTUGAL
Raphaël Guerreiro;1993.12.22;PORTUGAL
João Palhinha;1995.07.09;PORTUGAL
Cristiano Ronaldo;1985.02.05;PORTUGAL
Bruno Fernandes;1994.09.08;PORTUGAL
André Silva;1995.11.06;PORTUGAL
Bernardo Silva;1994.08.10;PORTUGAL
João Félix;1999.11.10;PORTUGAL
José Sá;1993.01.17;PORTUGAL
Danilo Pereira;1991.09.09;PORTUGAL
William Carvalho;1992.04.07;PORTUGAL
Rafael Leão;1999.06.10;PORTUGAL
Vitinha;2000.02.13;PORTUGAL
João Mário;1993.01.19;PORTUGAL
Rúben Neves;1997.03.13;PORTUGAL
Nuno Mendes;2002.06.19;PORTUGAL
João Cancelo;1994.05.27;PORTUGAL
Ricardo Horta;1994.09.15;PORTUGAL
Diogo Costa;1999.09.19;PORTUGAL
Matheus Nunes;1998.08.27;PORTUGAL
António Silva;2003.10.30;PORTUGAL
Otávio;1995.02.09;PORTUGAL
Gonçalo Ramos;2001.06.20;PORTUGAL
Kim Seung-gyu;1990.09.30;KOREA REPUBLIC
Yoon Jong-gyu;1998.03.20;KOREA REPUBLIC
Kim Jin-su;1992.06.13;KOREA REPUBLIC
Kim Min-jae;1996.11.15;KOREA REPUBLIC
Jung Woo-young;1989.12.14;KOREA REPUBLIC
Hwang In-beom;1996.09.20;KOREA REPUBLIC
Son Heung-min;1992.07.08;KOREA REPUBLIC
Paik Seung-ho;1997.03.17;KOREA REPUBLIC
Cho Gue-sung;1998.01.25;KOREA REPUBLIC
Lee Jae-sung;1992.08.10;KOREA REPUBLIC
Hwang Hee-chan;1996.01.26;KOREA REPUBLIC
Song Bum-keun;1997.10.15;KOREA REPUBLIC
Son Jun-ho;1992.05.12;KOREA REPUBLIC
Hong Chul;1990.09.17;KOREA REPUBLIC
Kim Moon-hwan;1995.08.01;KOREA REPUBLIC
Hwang Ui-jo;1992.08.28;KOREA REPUBLIC
Na Sang-ho;1996.08.12;KOREA REPUBLIC
Lee Kang-in;2001.02.19;KOREA REPUBLIC
Kim Young-gwon;1990.02.27;KOREA REPUBLIC
Kwon Kyung-won;1992.01.31;KOREA REPUBLIC
Jo Hyeon-woo;1991.09.25;KOREA REPUBLIC
Kwon Chang-hoon;1994.06.30;KOREA REPUBLIC
Kim Tae-hwan;1989.07.24;KOREA REPUBLIC
Cho Yu-min;1996.11.17;KOREA REPUBLIC
Jeong Woo-yeong;1999.09.20;KOREA REPUBLIC
Song Min-kyu;1999.09.12;KOREA REPUBLIC
Fernando Muslera;1986.06.16;URUGUAY
José Giménez;1995.01.20;URUGUAY
Diego Godín;1986.02.16;URUGUAY
Ronald Araújo;1999.03.07;URUGUAY
Matías Vecino;1991.08.24;URUGUAY
Rodrigo Bentancur;1997.06.25;URUGUAY
Nicolás de la Cruz;1997.06.01;URUGUAY
Facundo Pellistri;2001.12.20;URUGUAY
Luis Suárez;1987.01.24;URUGUAY
Giorgian de Arrascaeta;1994.06.01;URUGUAY
Darwin Núñez;1999.06.24;URUGUAY
Sebastián Sosa;1986.08.19;URUGUAY
Guillermo Varela;1993.03.24;URUGUAY
Lucas Torreira;1996.02.11;URUGUAY
Federico Valverde;1998.07.22;URUGUAY
Mathías Olivera;1997.10.31;URUGUAY
Matías Viña;1997.11.09;URUGUAY
Maxi Gómez;1996.08.14;URUGUAY
Sebastián Coates;1990.10.07;URUGUAY
Facundo Torres;2000.04.13;URUGUAY
Edinson Cavani;1987.02.14;URUGUAY
Martín Cáceres;1987.04.07;URUGUAY
Sergio Rochet;1993.03.23;URUGUAY
Agustín Canobbio;1998.10.01;URUGUAY
Manuel Ugarte;2001.04.11;URUGUAY
José Luis Rodríguez;1997.03.14;URUGUAY
